Gen 1:1
οὐκ D--------- οὐ
ἀφῆκά VAI-AAI1S- ἵημι ἀπο
σε RP--AS---- σύ
ἅψασθαι VA--AMN--- ἅπτομαι
αὐτῆς RD--GSF--- αὐτός

Gen 20:7
νῦν D--------- νῦν
δὲ X--------- δέ
ἀπόδος VO--AAD2S- δίδωμι ἀπο
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
τῷ RA--DSM--- ὁ
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
ὅτι C--------- ὅτι
προφήτης N1M-NSM--- προφήτης
ἐστὶν V9--PAI3S- εἰμί
καὶ C--------- καί
προσεύξεται VF--FMI3S- εὔχομαι προς
περὶ P--------- περί
σοῦ RP--GS---- σύ
καὶ C--------- καί
ζήσῃ VF--FMI2S- ζάω
εἰ C--------- εἰ
δὲ X--------- δέ
μὴ D--------- μή
ἀποδίδως V8--PAI2S- δίδωμι ἀπο
γνῶθι VZ--AAD2S- γιγνώσκω
ὅτι C--------- ὅτι
ἀποθανῇ VF2-FMI2S- θνήσκω ἀπο
σὺ RP--NS---- σύ
καὶ C--------- καί
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
σά A1--NPN--- σός

Gen 20:8
καὶ C--------- καί
ὤρθρισεν VAI-AAI3S- ὀρθρίζω
Αβιμελεχ N---NSM--- Αβιμελεχ
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
πάντας A3--APM--- πᾶς
τοὺς RA--APM--- ὁ
παῖδας N3D-APM--- παῖς
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐλάλησεν VAI-AAI3S- λαλέω
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ῤήματα N3M-APN--- ῤῆμα
ταῦτα RD--APN--- οὗτος
εἰς P--------- εἰς
τὰ RA--APN--- ὁ
ὦτα N3T-APN--- οὖς
αὐτῶν RD--GPM--- αὐτός
ἐφοβήθησαν VCI-API3P- φοβέω
δὲ X--------- δέ
πάντες A3--NPM--- πᾶς
οἱ RA--NPM--- ὁ
ἄνθρωποι N2--NPM--- ἄνθρωπος
σφόδρα D--------- σφόδρα

Gen 20:9
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Αβιμελεχ N---NSM--- Αβιμελεχ
τὸν RA--ASM--- ὁ
Αβρααμ N---NSM--- Αβρααμ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῷ RD--DSM--- αὐτός
τί RI--ASN--- τίς
τοῦτο RD--ASN--- οὗτος
ἐποίησας VAI-AAI2S- ποιέω
ἡμῖν RP--DP---- ἐγώ
μή D--------- μή
τι RI--ASN--- τις
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
εἰς P--------- εἰς
σέ RP--AS---- σύ
ὅτι C--------- ὅτι
ἐπήγαγες VBI-AAI2S- ἄγω ἐπι
ἐπ' P--------- ἐπί
ἐμὲ RP--AS---- ἐγώ
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
βασιλείαν N1A-ASF--- βασιλεία
μου RP--GS---- ἐγώ
ἁμαρτίαν N1A-ASF--- ἁμαρτία
μεγάλην A1--ASF--- μέγας
ἔργον N2N-ASN--- ἔργον
ὃ RR--ASN--- ὅς
οὐδεὶς A3--NSM--- οὐδείς
ποιήσει VF--FAI3S- ποιέω
πεποίηκάς VX--XAI2S- ποιέω
μοι RP--DS---- ἐγώ

Gen 20:10
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Αβιμελεχ N---NSM--- Αβιμελεχ
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
τί RI--ASN--- τίς
ἐνιδὼν VB--AAPNSM ὁράω ἐν
ἐποίησας VAI-AAI2S- ποιέω
τοῦτο RD--ASN--- οὗτος

Gen 20:11
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Αβρααμ N---NSM--- Αβρααμ
εἶπα VAI-AAI1S- εἶπον
γάρ X--------- γάρ
ἄρα X--------- ἄρα
οὐκ D--------- οὐ
ἔστιν V9--PAI3S- εἰμί
θεοσέβεια N1A-NSF--- θεοσεβεία
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος
ἐμέ RP--AS---- ἐγώ
τε X--------- τε
ἀποκτενοῦσιν VF2-FAI3P- κτείνω ἀπο
ἕνεκεν P--------- ἕνεκεν
τῆς RA--GSF--- ὁ
γυναικός N3K-GSF--- γυνή
μου RP--GS---- ἐγώ

Gen 20:12
καὶ C--------- καί
γὰρ X--------- γάρ
ἀληθῶς D--------- ἀληθῶς
ἀδελφή N1--NSF--- ἀδελφή
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
ἐκ P--------- ἐκ
πατρός N3--GSM--- πατήρ
ἀλλ' C--------- ἀλλά
οὐκ D--------- οὐ
ἐκ P--------- ἐκ
μητρός N3--GSF--- μήτηρ
ἐγενήθη VCI-API3S- γίγνομαι
δέ X--------- δέ
μοι RP--DS---- ἐγώ
εἰς P--------- εἰς
γυναῖκα N3K-ASF--- γυνή

Gen 20:13
ἐγένετο VBI-AMI3S- γίγνομαι
δὲ X--------- δέ
ἡνίκα D--------- ἡνίκα
ἐξήγαγέν VBI-AAI3S- ἄγω ἐκ
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
αὐτῇ RD--DSF--- αὐτός
ταύτην RD--ASF--- οὗτος
τὴν RA--ASF--- ὁ
δικαιοσύνην N1--ASF--- δικαιοσύνη
ποιήσεις VF--FAI2S- ποιέω
ἐπ' P--------- ἐπί
ἐμέ RP--AS---- ἐγώ
εἰς P--------- εἰς
πάντα A3--ASM--- πᾶς
τόπον N2--ASM--- τόπος
οὗ D--------- οὗ
ἐὰν C--------- ἐάν
εἰσέλθωμεν VB--AAS1P- ἔρχομαι εἰς
ἐκεῖ D--------- ἐκεῖ
εἰπὸν VB--AAD2S- εἶπον
ἐμὲ RP--AS---- ἐγώ
ὅτι C--------- ὅτι
ἀδελφός N2--NSM--- ἀδελφός
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί

Gen 20:14
ἔλαβεν VBI-AAI3S- λαμβάνω
δὲ X--------- δέ
Αβιμελεχ N---NSM--- Αβιμελεχ
χίλια A1A-APN--- χίλιοι
δίδραχμα N2N-APN--- δίδραγμον
πρόβατα N2N-APN--- πρόβατον
καὶ C--------- καί
μόσχους N2--APM--- μόσχος
καὶ C--------- καί
παῖδας N3D-APM--- παῖς
καὶ C--------- καί
παιδίσκας N1--APF--- παιδίσκη
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
καὶ C--------- καί
ἀπέδωκεν VAI-AAI3S- δίδωμι ἀπο
αὐτῷ RD--DSM--- αὐτός
Σαρραν N---ASF--- Σαρρα
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός

Gen 20:15
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
Αβιμελεχ N---NSM--- Αβιμελεχ
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
ἰδοὺ I--------- ἰδού
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
μου RP--GS---- ἐγώ
ἐναντίον P--------- ἐναντίον
σου RP--GS---- σύ
οὗ D--------- οὗ
ἐάν C--------- ἐάν
σοι RP--DS---- σύ
ἀρέσκῃ V1--PAS3S- ἀρέσκω
κατοίκει V2--PAD2S- οἰκέω κατα

Gen 20:16
τῇ RA--DSF--- ὁ
δὲ X--------- δέ
Σαρρα N---DSF--- Σαρρα
εἶπεν VBI-AAI3S- εἶπον
ἰδοὺ I--------- ἰδού
δέδωκα VX--XAI1S- δίδωμι
χίλια A1A-APN--- χίλιοι
δίδραχμα N2N-APN--- δίδραγμον
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
σου RP--GS---- σύ
ταῦτα RD--NPN--- οὗτος
ἔσται VF--FMI3S- εἰμί
σοι RP--DS---- σύ
εἰς P--------- εἰς
τιμὴν N1--ASF--- τιμή
τοῦ RA--GSN--- ὁ
προσώπου N2N-GSN--- πρόσωπον
σου RP--GS---- σύ
καὶ C--------- καί
πάσαις A1S-DPF--- πᾶς
ταῖς RA--DPF--- ὁ
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καὶ C--------- καί
πάντα A3--ASM--- πᾶς
ἀλήθευσον VA--AAD2S- ἀληθεύω

Gen 20:17
προσηύξατο VAI-AMI3S- εὔχομαι προς
δὲ X--------- δέ
Αβρααμ N---NSM--- Αβρααμ
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
θεόν N2--ASM--- θεός
καὶ C--------- καί
ἰάσατο VA--AMI3S- ἰάομαι
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τὸν RA--ASM--- ὁ
Αβιμελεχ N---ASM--- Αβιμελεχ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γυναῖκα N3K-ASF--- γυνή
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
τὰς RA--APF--- ὁ
παιδίσκας N1--APF--- παιδίσκη
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔτεκον VBI-AAI3P- τίκτω

Gen 20:18
ὅτι C--------- ὅτι
συγκλείων V1--PAPNSM κλείω συν
συνέκλεισεν VAI-AAI3S- κλείω συν
κύριος N2--NSM--- κύριος
ἔξωθεν D--------- ἔξωθεν
πᾶσαν A1S-ASF--- πᾶς
μήτραν N1A-ASF--- μήτρα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
τοῦ RA--GSM--- ὁ
Αβιμελεχ N---GSM--- Αβιμελεχ
ἕνεκεν P--------- ἕνεκεν
Σαρρας N---GSF--- Σαρρα
τῆς RA--GSF--- ὁ
γυναικὸς N3K-GSF--- γυνή
Αβρααμ N---GSM--- Αβρααμ

Gen 21:1
καὶ C--------- καί
κύριος N2--NSM--- κύριος
ἐπεσκέψατο VAI-AMI3S- ἐπισκέπτω
τὴν RA--ASF--- ὁ
Σαρραν N---ASF--- Σαρρα
καθὰ D--------- καθά
εἶπεν VBI-AAI3S- εἶπον
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
τῇ RA--DSF--- ὁ
Σαρρα N---GSF--- Σαρρα
καθὰ D--------- καθά
ἐλάλησεν VAI-AAI3S- λαλέω

Gen 21:2
καὶ C--------- καί
συλλαβοῦσα VB--AAPNSF λαμβάνω συν
ἔτεκεν VBI-AAI3S- τίκτω
Σαρρα N---NSF--- Σαρρα
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
υἱὸν N2--ASM--- υἱός
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
γῆρας N3--ASN--- γῆρας
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
καιρόν N2--ASM--- καιρός
καθὰ D--------- καθά
ἐλάλησεν VAI-AAI3S- λαλέω
αὐτῷ RD--DSM--- αὐτός
κύριος N2--NSM--- κύριος

Gen 21:3
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
Αβρααμ N---NSM--- Αβρααμ
τὸ RA--ASN--- ὁ
ὄνομα N3M-ASN--- ὄνομα
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός
τοῦ RA--GSM--- ὁ
γενομένου VB--AMPGSM γίγνομαι
αὐτῷ RD--DSM--- αὐτός
ὃν RR--ASM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
αὐτῷ RD--DSM--- αὐτός
Σαρρα N---NSF--- Σαρρα
Ισαακ N---ASM--- Ισαακ

Gen 21:4
περιέτεμεν VBI-AAI3S- τέμνω περι
δὲ X--------- δέ
Αβρααμ N---NSM--- Αβρααμ
τὸν RA--ASM--- ὁ
Ισαακ N---ASM--- Ισαακ
τῇ RA--DSF--- ὁ
ὀγδόῃ A1--DSF--- ὄγδοος
ἡμέρᾳ N1A-DSF--- ἡμέρα
καθὰ D--------- καθά
ἐνετείλατο VAI-AMI3S- τέλλομαι ἐν
αὐτῷ RD--DSM--- αὐτός
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός

Gen 21:5
Αβρααμ N---NSM--- Αβρααμ
δὲ X--------- δέ
ἦν V9--IAI3S- εἰμί
ἑκατὸν M--------- ἑκατόν
ἐτῶν N3E-GPN--- ἔτος
ἡνίκα D--------- ἡνίκα
ἐγένετο VBI-AMI3S- γίγνομαι
αὐτῷ RD--DSM--- αὐτός
Ισαακ N---NSM--- Ισαακ
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός

Gen 21:6
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
Σαρρα N---NSF--- Σαρρα
γέλωτά N3T-ASM--- γέλως
μοι RP--DS---- ἐγώ
ἐποίησεν VAI-AAI3S- ποιέω
κύριος N2--NSM--- κύριος
ὃς RR--NSM--- ὅς
γὰρ X--------- γάρ
ἂν X--------- ἄν
ἀκούσῃ VA--AAS3S- ἀκούω
συγχαρεῖταί VF--FMI3S- χαίρω συν
μοι RP--DS---- ἐγώ

Gen 21:7
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τίς RI--NSM--- τίς
ἀναγγελεῖ VF2-FAI3S- ἀγγέλλω ἀνα
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
ὅτι C--------- ὅτι
θηλάζει V1--PAI3S- θηλάζω
παιδίον N2N-ASN--- παιδίον
Σαρρα N---NSF--- Σαρρα
ὅτι C--------- ὅτι
ἔτεκον VBI-AAI3P- τίκτω
υἱὸν N2--ASM--- υἱός
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
γήρει N3--DSN--- γῆρας
μου RP--GS---- ἐγώ

Gen 21:8
καὶ C--------- καί
ηὐξήθη VCI-API3S- αὐξάνω
τὸ RA--NSN--- ὁ
παιδίον N2N-NSN--- παιδίον
καὶ C--------- καί
ἀπεγαλακτίσθη VSI-API3S- γαλακτίζω ἀπο
καὶ C--------- καί
ἐποίησεν VAI-AAI3S- ποιέω
Αβρααμ N---NSM--- Αβρααμ
δοχὴν N1--ASF--- δοχή
μεγάλην A1--ASF--- μέγας
ᾗ RR--DSF--- ὅς
ἡμέρᾳ N1A-DSF--- ἡμέρα
ἀπεγαλακτίσθη VSI-API3S- γαλακτίζω ἀπο
Ισαακ N---NSM--- Ισαακ
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός

Gen 21:9
ἰδοῦσα VB--AAPNSF ὁράω
δὲ X--------- δέ
Σαρρα N---NSF--- Σαρρα
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
Αγαρ N---GSF--- Αγαρ
τῆς RA--GSF--- ὁ
Αἰγυπτίας A1--GSF--- Αἰγυπτία
ὃς RR--NSM--- ὅς
ἐγένετο VBI-AMI3S- γίγνομαι
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
παίζοντα V1--PAPASM παίζω
μετὰ P--------- μετά
Ισαακ N---GSM--- Ισαακ
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτῆς RD--GSF--- αὐτός

Gen 21:10
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
ἔκβαλε VB--AAD2S- βάλλω ἐκ
τὴν RA--ASF--- ὁ
παιδίσκην N1--ASF--- παιδίσκη
ταύτην RD--ASF--- οὗτος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
αὐτῆς RD--GSF--- αὐτός
οὐ D--------- οὐ
γὰρ X--------- γάρ
κληρονομήσει VF--FAI3S- κληρονομέω
ὁ RA--NSM--- ὁ
υἱὸς N2--NSM--- υἱός
τῆς RA--GSF--- ὁ
παιδίσκης N1--GSF--- παιδίσκη
ταύτης RD--GSF--- οὗτος
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
μου RP--GS---- ἐγώ
Ισαακ N---GSM--- Ισαακ

Gen 21:11
σκληρὸν A1A-NSN--- σκληρός
δὲ X--------- δέ
ἐφάνη VDI-API3S- φαίνω
τὸ RA--NSN--- ὁ
ῤῆμα N3M-NSN--- ῤῆμα
σφόδρα D--------- σφόδρα
ἐναντίον P--------- ἐναντίον
Αβρααμ N---GSM--- Αβρααμ
περὶ P--------- περί
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός

Gen 21:12
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῷ RA--DSM--- ὁ
Αβρααμ N---DSM--- Αβρααμ
μὴ D--------- μή
σκληρὸν A1A-NSN--- σκληρός
ἔστω V9--PAD3S- εἰμί
τὸ RA--NSN--- ὁ
ῤῆμα N3M-NSN--- ῤῆμα
ἐναντίον P--------- ἐναντίον
σου RP--GS---- σύ
περὶ P--------- περί
τοῦ RA--GSN--- ὁ
παιδίου N2N-GSN--- παιδίον
καὶ C--------- καί
περὶ P--------- περί
τῆς RA--GSF--- ὁ
παιδίσκης N1--GSF--- παιδίσκη
πάντα A3--APN--- πᾶς
ὅσα A1--APN--- ὅσος
ἐὰν C--------- ἐάν
εἴπῃ VBI-AAS3S- εἶπον
σοι RP--DS---- σύ
Σαρρα N---NSF--- Σαρρα
ἄκουε V1--PAD2S- ἀκούω
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
αὐτῆς RD--GSF--- αὐτός
ὅτι C--------- ὅτι
ἐν P--------- ἐν
Ισαακ N---DSM--- Ισαακ
κληθήσεταί VC--FPI3S- καλέω
σοι RP--DS---- σύ
σπέρμα N3M-NSN--- σπέρμα

Gen 21:13
καὶ C--------- καί
τὸν RA--ASM--- ὁ
υἱὸν N2--ASM--- υἱός
δὲ X--------- δέ
τῆς RA--GSF--- ὁ
παιδίσκης N1--GSF--- παιδίσκη
ταύτης RD--GSF--- οὗτος
εἰς P--------- εἰς
ἔθνος N3E-ASN--- ἔθνος
μέγα A1P-ASN--- μέγας
ποιήσω VA--AAS1S- ποιέω
αὐτόν RD--ASM--- αὐτός
ὅτι C--------- ὅτι
σπέρμα N3M-NSN--- σπέρμα
σόν A1--NSN--- σός
ἐστιν V9--PAI3S- εἰμί

Gen 21:14
ἀνέστη VHI-AAI3S- ἵστημι ἀνα
δὲ X--------- δέ
Αβρααμ N---NSM--- Αβρααμ
τὸ RA--ASN--- ὁ
πρωὶ D--------- πρωΐ
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
ἄρτους N2--APM--- ἄρτος
καὶ C--------- καί
ἀσκὸν N2--ASM--- ἀσκός
ὕδατος N3T-GSN--- ὕδωρ
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
Αγαρ N---DSF--- Αγαρ
καὶ C--------- καί
ἐπέθηκεν VAI-AAI3S- τίθημι ἐπι
ἐπὶ P--------- ἐπί
τὸν RA--ASM--- ὁ
ὦμον N2--ASM--- ὦμος
καὶ C--------- καί
τὸ RA--ASN--- ὁ
παιδίον N2N-ASN--- παιδίον
καὶ C--------- καί
ἀπέστειλεν VAI-AAI3S- στέλλω ἀπο
αὐτήν RD--ASF--- αὐτός
ἀπελθοῦσα VB--AAPNSF ἔρχομαι ἀπο
δὲ X--------- δέ
ἐπλανᾶτο V3I-IMI3S- πλανάω
τὴν RA--ASF--- ὁ
ἔρημον N2--ASF--- ἔρημος
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
φρέαρ N3T-ASN--- φρέαρ
τοῦ RA--GSM--- ὁ
ὅρκου N2--GSM--- ὅρκος

Gen 21:15
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
δὲ X--------- δέ
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
ἀσκοῦ N2--GSM--- ἀσκός
καὶ C--------- καί
ἔρριψεν VAI-AAI3S- ῤίπτω
τὸ RA--ASN--- ὁ
παιδίον N2N-ASN--- παιδίον
ὑποκάτω P--------- ὑποκάτω
μιᾶς A1A-GSF--- εἷς
ἐλάτης N1--GSF--- ἐλάτη

Gen 21:16
ἀπελθοῦσα VB--AAPNSF ἔρχομαι ἀπο
δὲ X--------- δέ
ἐκάθητο V1I-IMI3S- κάθημαι
ἀπέναντι P--------- ἀπέναντι
αὐτοῦ RD--GSM--- αὐτός
μακρόθεν D--------- μακρόθεν
ὡσεὶ D--------- ὡσεί
τόξου N2N-GSN--- τόξον
βολήν N1--ASF--- βολή
εἶπεν VBI-AAI3S- εἶπον
γάρ X--------- γάρ
οὐ D--------- οὐ
μὴ D--------- μή
ἴδω VB--AAS1S- ὁράω
τὸν RA--ASM--- ὁ
θάνατον N2--ASM--- θάνατος
τοῦ RA--GSN--- ὁ
παιδίου N2N-GSN--- παιδίον
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐκάθισεν VAI-AAI3S- ἵζω κατα
ἀπέναντι P--------- ἀπέναντι
αὐτοῦ RD--GSM--- αὐτός
ἀναβοῆσαν VA--AAPNSN βοάω ἀνα
δὲ X--------- δέ
τὸ RA--NSN--- ὁ
παιδίον N2N-NSN--- παιδίον
ἔκλαυσεν VAI-AAI3S- κλαίω

Gen 21:17
εἰσήκουσεν VAI-AAI3S- ἀκούω εἰς
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τῆς RA--GSF--- ὁ
φωνῆς N1--GSF--- φωνή
τοῦ RA--GSN--- ὁ
παιδίου N2N-GSN--- παιδίον
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
οὗ D--------- οὗ
ἦν V9--IAI3S- εἰμί
καὶ C--------- καί
ἐκάλεσεν VAI-AAI3S- καλέω
ἄγγελος N2--NSM--- ἄγγελος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
τὴν RA--ASF--- ὁ
Αγαρ N---ASF--- Αγαρ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
αὐτῇ RD--DSF--- αὐτός
τί RI--NSN--- τίς
ἐστιν V9--PAI3S- εἰμί
Αγαρ N---VSF--- Αγαρ
