Jer 1:1
ὀπίσω D--------- ὀπίσω
πορεύσῃ VA--AMS2S- πορεύομαι
καὶ C--------- καί
ἐκτενῶ VF2-FAI1S- τείνω ἐκ
τὴν RA--ASF--- ὁ
χεῖρά N3--ASF--- χείρ
μου RP--GS---- ἐγώ
καὶ C--------- καί
διαφθερῶ VF2-FAI1S- φθείρω δια
σε RP--AS---- σύ
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
ἀνήσω VF--FAI1S- ἵημι ἀνα
αὐτούς RD--APM--- αὐτός

Jer 15:7
καὶ C--------- καί
διασπερῶ VF2-FAI1S- σπείρω δια
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
διασπορᾷ N1A-DSF--- διασπορά
ἐν P--------- ἐν
πύλαις N1--DPF--- πύλη
λαοῦ N2--GSM--- λαός
μου RP--GS---- ἐγώ
ἠτεκνώθησαν VCI-API3P- ἀτεκνόω
ἀπώλεσαν VAI-AAI3P- ὀλλύω ἀπο
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
διὰ P--------- διά
τὰς RA--APF--- ὁ
κακίας N1A-APF--- κακία
αὐτῶν RD--GPM--- αὐτός

Jer 15:8
ἐπληθύνθησαν VCI-API3P- πληθύνω
χῆραι N1A-NPF--- χήρα
αὐτῶν RD--GPM--- αὐτός
ὑπὲρ P--------- ὑπέρ
τὴν RA--ASF--- ὁ
ἄμμον N2--ASF--- ἄμμος
τῆς RA--GSF--- ὁ
θαλάσσης N1S-GSF--- θάλασσα
ἐπήγαγον VBI-AAI3P- ἄγω ἐπι
ἐπὶ P--------- ἐπί
μητέρα N3--ASF--- μήτηρ
νεανίσκου N2--GSM--- νεανίσκος
ταλαιπωρίαν N1A-ASF--- ταλαιπωρία
ἐν P--------- ἐν
μεσημβρίᾳ N1A-DSF--- μεσημβρία
ἐπέρριψα VAI-AAI1S- ῤίπτω ἐπι
ἐπ' P--------- ἐπί
αὐτὴν RD--ASF--- αὐτός
ἐξαίφνης D--------- ἐξαίφνης
τρόμον N2--ASM--- τρόμος
καὶ C--------- καί
σπουδήν N1--ASF--- σπουδή

Jer 15:9
ἐκενώθη VCI-API3S- κενόω
ἡ RA--NSF--- ὁ
τίκτουσα V1--PAPNSF τίκτω
ἑπτά M--------- ἑπτά
ἀπεκάκησεν VAI-AAI3S- κακέω ἀπο
ἡ RA--NSF--- ὁ
ψυχὴ N1--NSF--- ψυχή
αὐτῆς RD--GSF--- αὐτός
ἐπέδυ VBI-AAI3S- δύω ἐπι
ὁ RA--NSM--- ὁ
ἥλιος N2--NSM--- ἥλιος
αὐτῇ RD--DSF--- αὐτός
ἔτι D--------- ἔτι
μεσούσης V4--PAPGSF μεσόω
τῆς RA--GSF--- ὁ
ἡμέρας N1A-GSF--- ἡμέρα
κατῃσχύνθη VCI-API3S- αἰσχύνω κατα
καὶ C--------- καί
ὠνειδίσθη VCI-API3S- ὀνειδίζω
τοὺς RA--APM--- ὁ
καταλοίπους A1B-APM--- κατάλοιπος
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
μάχαιραν N1A-ASF--- μάχαιρα
δώσω VF--FAI1S- δίδωμι
ἐναντίον P--------- ἐναντίον
τῶν RA--GPM--- ὁ
ἐχθρῶν N2--GPM--- ἐχθρός
αὐτῶν RD--GPM--- αὐτός

Jer 15:10
οἴμμοι I--------- οἴμμοι
ἐγώ RP--NS---- ἐγώ
μῆτερ N3--VSF--- μήτηρ
ὡς C--------- ὡς
τίνα RI--APN--- τίς
με RP--AS---- ἐγώ
ἔτεκες VBI-AAI2S- τίκτω
ἄνδρα N3--ASM--- ἀνήρ
δικαζόμενον V1--PMPASM δικάζω
καὶ C--------- καί
διακρινόμενον V1--PMPASM κρίνω δια
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
οὔτε C--------- οὔτε
ὠφέλησα VA--AAI1S- ὠφελέω
οὔτε C--------- οὔτε
ὠφέλησέν VA--AAI3S- ὠφελέω
με RP--AS---- ἐγώ
οὐδείς A3--NSM--- οὐδείς
ἡ RA--NSF--- ὁ
ἰσχύς N3--NSF--- ἰσχύς
μου RP--GS---- ἐγώ
ἐξέλιπεν VBI-AAI3S- λείπω ἐκ
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
καταρωμένοις V3--PMPDPM ἀράομαι κατα
με RP--AS---- ἐγώ

Jer 15:11
γένοιτο VB--AMO3S- γίγνομαι
δέσποτα N1M-VSM--- δεσπότης
κατευθυνόντων V1--PAPGPM εὐθύνω κατα
αὐτῶν RD--GPM--- αὐτός
εἰ C--------- εἰ
μὴ D--------- μή
παρέστην VHI-AAI1S- ἵστημι παρα
σοι RP--DS---- σύ
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
τῶν RA--GPM--- ὁ
κακῶν A1--GPM--- κακός
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
καιρῷ N2--DSM--- καιρός
θλίψεως N3I-GSF--- θλῖψις
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
ἀγαθὰ A1--APN--- ἀγαθός
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἐχθρόν N2--ASM--- ἐχθρός

Jer 15:12
εἰ C--------- εἰ
γνωσθήσεται VS--FPI3S- γιγνώσκω
σίδηρος N2--NSM--- σίδηρος
καὶ C--------- καί
περιβόλαιον N2N-ASN--- περιβόλαιον
χαλκοῦν A1C-ASN--- χαλκοῦς

Jer 15:13
ἡ RA--NSF--- ὁ
ἰσχύς N3--NSF--- ἰσχύς
σου RP--GS---- σύ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
θησαυρούς N2--APM--- θησαυρός
σου RP--GS---- σύ
εἰς P--------- εἰς
προνομὴν N1--ASF--- προνομή
δώσω VF--FAI1S- δίδωμι
ἀντάλλαγμα N3M-ASN--- ἀντάλλαγμα
διὰ P--------- διά
πάσας A1S-APF--- πᾶς
τὰς RA--APF--- ὁ
ἁμαρτίας N1A-APF--- ἁμαρτία
σου RP--GS---- σύ
καὶ C--------- καί
ἐν P--------- ἐν
πᾶσι A3--DPN--- πᾶς
τοῖς RA--DPN--- ὁ
ὁρίοις N2N-DPN--- ὅριον
σου RP--GS---- σύ

Jer 15:14
καὶ C--------- καί
καταδουλώσω VF--FAI1S- δουλόω κατα
σε RP--AS---- σύ
κύκλῳ N2--DSM--- κύκλος
τοῖς RA--DPM--- ὁ
ἐχθροῖς N2--DPM--- ἐχθρός
σου RP--GS---- σύ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ᾗ RR--DSF--- ὅς
οὐκ D--------- οὐ
ᾔδεις VXI-YAI2S- οἶδα
ὅτι C--------- ὅτι
πῦρ N3--NSN--- πῦρ
ἐκκέκαυται VM--XPI3S- καίω ἐκ
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
θυμοῦ N2--GSM--- θυμός
μου RP--GS---- ἐγώ
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
καυθήσεται VC--FPI3S- καίω

Jer 15:15
κύριε N2--VSM--- κύριος
μνήσθητί VS--APD2S- μιμνήσκω
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐπίσκεψαί VA--AMD2S- σκέπτω ἐπι
με RP--AS---- ἐγώ
καὶ C--------- καί
ἀθῴωσόν VA--AAD2S- ἀθῳόω
με RP--AS---- ἐγώ
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
καταδιωκόντων V1--PAPGPM διώκω κατα
με RP--AS---- ἐγώ
μὴ D--------- μή
εἰς P--------- εἰς
μακροθυμίαν N1A-ASF--- μακροθυμία
γνῶθι VZ--AAD2S- γιγνώσκω
ὡς C--------- ὡς
ἔλαβον VBI-AAI1S- λαμβάνω
περὶ P--------- περί
σοῦ RP--GS---- σύ
ὀνειδισμὸν N2--ASM--- ὀνειδισμός

Jer 15:16
ὑπὸ P--------- ὑπό
τῶν RA--GPM--- ὁ
ἀθετούντων V2--PAPGPM ἀθετέω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
σου RP--GS---- σύ
συντέλεσον VA--AAD2S- τελέω συν
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
σου RP--GS---- σύ
ἐμοὶ RP--DS---- ἐγώ
εἰς P--------- εἰς
εὐφροσύνην N1--ASF--- εὐφροσύνη
καὶ C--------- καί
χαρὰν N1A-ASF--- χαρά
καρδίας N1A-GSF--- καρδία
μου RP--GS---- ἐγώ
ὅτι C--------- ὅτι
ἐπικέκληται VM--XMI3S- καλέω ἐπι
τὸ RA--NSN--- ὁ
ὄνομά N3M-NSN--- ὄνομα
σου RP--GS---- σύ
ἐπ' P--------- ἐπί
ἐμοί RP--DS---- ἐγώ
κύριε N2--VSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Jer 15:17
οὐκ D--------- οὐ
ἐκάθισα VAI-AAI1S- ἵζω κατα
ἐν P--------- ἐν
συνεδρίῳ N2N-DSN--- συνέδριον
αὐτῶν RD--GPM--- αὐτός
παιζόντων V1--PAPGPM παίζω
ἀλλὰ C--------- ἀλλά
εὐλαβούμην V2--IMI1S- εὐλαβέομαι
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
χειρός N3--GSF--- χείρ
σου RP--GS---- σύ
κατὰ P--------- κατά
μόνας A1--APF--- μόνος
ἐκαθήμην V1I-IMI1S- ἧμαι κατα
ὅτι C--------- ὅτι
πικρίας N1A-APF--- πικρία
ἐνεπλήσθην VSI-API1S- πίμπλημι ἐν

Jer 15:18
ἵνα C--------- ἵνα
τί RI--ASN--- τίς
οἱ RA--NPM--- ὁ
λυποῦντές V2--PAPNPM λυπέω
με RP--AS---- ἐγώ
κατισχύουσίν V1--PAI3P- ἰσχύω κατα
μου RP--GS---- ἐγώ
ἡ RA--NSF--- ὁ
πληγή N1--NSF--- πληγή
μου RP--GS---- ἐγώ
στερεά A1A-NSF--- στερεός
πόθεν D--------- πόθεν
ἰαθήσομαι VC--FPI1S- ἰάομαι
γινομένη V1--PMPNSF γίγνομαι
ἐγενήθη VCI-API3S- γίγνομαι
μοι RP--DS---- ἐγώ
ὡς C--------- ὡς
ὕδωρ N3--NSN--- ὕδωρ
ψευδὲς A3H-NSN--- ψευδής
οὐκ D--------- οὐ
ἔχον V1--PAPNSN ἔχω
πίστιν N3I-ASF--- πίστις

Jer 15:19
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἐὰν C--------- ἐάν
ἐπιστρέψῃς VA--AAS2S- στρέφω ἐπι
καὶ C--------- καί
ἀποκαταστήσω VA--AAS1S- ἵστημι ἀπο κατα
σε RP--AS---- σύ
καὶ C--------- καί
πρὸ P--------- πρό
προσώπου N2N-GSN--- πρόσωπον
μου RP--GS---- ἐγώ
στήσῃ VF--FMI2S- ἵστημι
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἐξαγάγῃς VB--AAS2S- ἄγω ἐκ
τίμιον A1A-ASM--- τίμιος
ἀπὸ P--------- ἀπό
ἀναξίου A1A-GSM--- ἀνάξιος
ὡς C--------- ὡς
στόμα N3M-NSN--- στόμα
μου RP--GS---- ἐγώ
ἔσῃ VF--FMI2S- εἰμί
καὶ C--------- καί
ἀναστρέψουσιν VF--FAI3P- στρέφω ἀνα
αὐτοὶ RD--NPM--- αὐτός
πρὸς P--------- πρός
σέ RP--AS---- σύ
καὶ C--------- καί
σὺ RP--NS---- σύ
οὐκ D--------- οὐ
ἀναστρέψεις VF--FAI2S- στρέφω ἀνα
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός

Jer 15:20
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
σε RP--AS---- σύ
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τούτῳ RD--DSM--- οὗτος
ὡς C--------- ὡς
τεῖχος N3E-ASN--- τεῖχος
ὀχυρὸν A1A-ASN--- ὀχυρός
χαλκοῦν A1C-ASN--- χαλκοῦς
καὶ C--------- καί
πολεμήσουσιν VF--FAI3P- πολεμέω
πρὸς P--------- πρός
σὲ RP--AS---- σύ
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
δύνωνται V6--PMS3P- δύναμαι
πρὸς P--------- πρός
σέ RP--AS---- σύ
διότι C--------- διότι
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
εἰμι V9--PAI1S- εἰμί
τοῦ RA--GSN--- ὁ
σῴζειν V1--PAN--- σώζω
σε RP--AS---- σύ

Jer 15:21
καὶ C--------- καί
ἐξαιρεῖσθαί V2--PMN--- αἱρέω ἐκ
σε RP--AS---- σύ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
πονηρῶν A1A-GPM--- πονηρός
καὶ C--------- καί
λυτρώσομαί VF--FMI1S- λυτρόω
σε RP--AS---- σύ
ἐκ P--------- ἐκ
χειρὸς N3--GSF--- χείρ
λοιμῶν N2--GPM--- λοιμός

Jer 16:1
καὶ C--------- καί
σὺ RP--NS---- σύ
μὴ D--------- μή
λάβῃς VB--AAS2S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ

Jer 16:2
καὶ C--------- καί
οὐ D--------- οὐ
γεννηθήσεταί VC--FPI3S- γεννάω
σοι RP--DS---- σύ
υἱὸς N2--NSM--- υἱός
οὐδὲ C--------- οὐδέ
θυγάτηρ N3--NSF--- θυγάτηρ
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος

Jer 16:3
ὅτι C--------- ὅτι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
περὶ P--------- περί
τῶν RA--GPM--- ὁ
υἱῶν N2--GPM--- υἱός
καὶ C--------- καί
περὶ P--------- περί
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ
τῶν RA--GPM--- ὁ
γεννωμένων V3--PPPGPM γεννάω
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τόπῳ N2--DSM--- τόπος
τούτῳ RD--DSM--- οὗτος
καὶ C--------- καί
περὶ P--------- περί
τῶν RA--GPF--- ὁ
μητέρων N3--GPF--- μήτηρ
αὐτῶν RD--GPM--- αὐτός
τῶν RA--GPF--- ὁ
τετοκυιῶν VX--XAPGPF τίκτω
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
περὶ P--------- περί
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
τῶν RA--GPM--- ὁ
γεγεννηκότων VX--XAPGPM γεννάω
αὐτοὺς RD--APM--- αὐτός
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
ταύτῃ RD--DSF--- οὗτος

Jer 16:4
ἐν P--------- ἐν
θανάτῳ N2--DSM--- θάνατος
νοσερῷ A1A-DSM--- νοσερός
ἀποθανοῦνται VF2-FMI3P- θνήσκω ἀπο
οὐ D--------- οὐ
κοπήσονται VD--FPI3P- κόπτω
καὶ C--------- καί
οὐ D--------- οὐ
ταφήσονται VD--FPI3P- θάπτω
εἰς P--------- εἰς
παράδειγμα N3M-ASN--- παράδειγμα
ἐπὶ P--------- ἐπί
προσώπου N2N-GSN--- πρόσωπον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
ἔσονται VF--FMI3P- εἰμί
καὶ C--------- καί
τοῖς RA--DPN--- ὁ
θηρίοις N2N-DPN--- θηρίον
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ
καὶ C--------- καί
τοῖς RA--DPN--- ὁ
πετεινοῖς A1--DPN--- πετεινός
τοῦ RA--GSM--- ὁ
οὐρανοῦ N2--GSM--- οὐρανός
ἐν P--------- ἐν
μαχαίρᾳ N1A-DSF--- μάχαιρα
πεσοῦνται VF2-FMI3P- πίπτω
καὶ C--------- καί
ἐν P--------- ἐν
λιμῷ N2--DSM--- λιμός
συντελεσθήσονται VS--FPI3P- τελέω συν

Jer 16:5
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
μὴ D--------- μή
εἰσέλθῃς VB--AAS2S- ἔρχομαι εἰς
εἰς P--------- εἰς
θίασον N2--ASM--- θίασος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
μὴ D--------- μή
πορευθῇς VC--APS2S- πορεύομαι
τοῦ RA--GSN--- ὁ
κόψασθαι VA--AMN--- κόπτω
καὶ C--------- καί
μὴ D--------- μή
πενθήσῃς VA--AAS2S- πενθέω
αὐτούς RD--APM--- αὐτός
ὅτι C--------- ὅτι
ἀφέστακα VXI-XAI1S- ἵστημι ἀπο
τὴν RA--ASF--- ὁ
εἰρήνην N1--ASF--- εἰρήνη
μου RP--GS---- ἐγώ
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
λαοῦ N2--GSM--- λαός
τούτου RD--GSM--- οὗτος

Jer 16:6
οὐ D--------- οὐ
μὴ D--------- μή
κόψωνται VA--AMS3P- κόπτω
αὐτοὺς RD--APM--- αὐτός
οὐδὲ C--------- οὐδέ
ἐντομίδας N3D-APF--- ἐντομίς
οὐ D--------- οὐ
μὴ D--------- μή
ποιήσωσιν VA--AAS3P- ποιέω
καὶ C--------- καί
οὐ D--------- οὐ
ξυρήσονται VF--FMI3P- ξυράω

Jer 16:7
καὶ C--------- καί
οὐ D--------- οὐ
μὴ D--------- μή
κλασθῇ VS--APS3S- κλάω
ἄρτος N2--NSM--- ἄρτος
ἐν P--------- ἐν
πένθει N3E-DSN--- πένθος
αὐτῶν RD--GPM--- αὐτός
εἰς P--------- εἰς
παράκλησιν N3I-ASF--- παράκλησις
ἐπὶ P--------- ἐπί
τεθνηκότι VX--XAPDSM θνήσκω
οὐ D--------- οὐ
ποτιοῦσιν VF2-FAI3P- ποτίζω
αὐτὸν RD--ASM--- αὐτός
ποτήριον N2N-ASN--- ποτήριον
εἰς P--------- εἰς
παράκλησιν N3I-ASF--- παράκλησις
ἐπὶ P--------- ἐπί
πατρὶ N3--DSM--- πατήρ
καὶ C--------- καί
μητρὶ N3--DSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός

Jer 16:8
εἰς P--------- εἰς
οἰκίαν N1A-ASF--- οἰκία
πότου N2N-GSN--- ποτόν
οὐκ D--------- οὐ
εἰσελεύσῃ VF--FMI2S- ἔρχομαι εἰς
συγκαθίσαι VA--AAN--- ἵζω συν κατα
μετ' P--------- μετά
αὐτῶν RD--GPM--- αὐτός
τοῦ RA--GSN--- ὁ
φαγεῖν VB--AAN--- ἐσθίω
καὶ C--------- καί
πιεῖν VB--AAN--- πίνω

Jer 16:9
διότι C--------- διότι
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
Ισραηλ N---GSM--- Ἰσραήλ
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
καταλύω V1--PAI1S- λύω κατα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τόπου N2--GSM--- τόπος
τούτου RD--GSM--- οὗτος
ἐνώπιον P--------- ἐνώπιον
τῶν RA--GPM--- ὁ
ὀφθαλμῶν N2--GPM--- ὀφθαλμός
ὑμῶν RP--GP---- σύ
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
ὑμῶν RP--GP---- σύ
φωνὴν N1--ASF--- φωνή
χαρᾶς N1A-GSF--- χαρά
καὶ C--------- καί
φωνὴν N1--ASF--- φωνή
εὐφροσύνης N1--GSF--- εὐφροσύνη
φωνὴν N1--ASF--- φωνή
νυμφίου N2--GSM--- νυμφίος
καὶ C--------- καί
φωνὴν N1--ASF--- φωνή
νύμφης N1--GSF--- νύμφη

Jer 16:10
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ὅταν D--------- ὅταν
ἀναγγείλῃς VA--AAS2S- ἀγγέλλω ἀνα
τῷ RA--DSM--- ὁ
λαῷ N2--DSM--- λαός
τούτῳ RD--DSM--- οὗτος
ἅπαντα A3--APN--- ἅπας
τὰ RA--APN--- ὁ
ῤήματα N3M-APN--- ῤῆμα
ταῦτα RD--APN--- οὗτος
καὶ C--------- καί
εἴπωσιν VB--AAS3P- εἶπον
πρὸς P--------- πρός
σέ RP--AS---- σύ
διὰ P--------- διά
τί RI--ASN--- τίς
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
ἐφ' P--------- ἐπί
ἡμᾶς RP--AP---- ἐγώ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
κακὰ A1--APN--- κακός
ταῦτα RD--APN--- οὗτος
τίς RI--NSF--- τίς
ἡ RA--NSF--- ὁ
ἀδικία N1A-NSF--- ἀδικία
ἡμῶν RP--GP---- ἐγώ
καὶ C--------- καί
τίς RI--NSF--- τίς
ἡ RA--NSF--- ὁ
ἁμαρτία N1A-NSF--- ἁμαρτία
ἡμῶν RP--GP---- ἐγώ
ἣν RR--ASF--- ὅς
ἡμάρτομεν VBI-AAI1P- ἁμαρτάνω
ἔναντι P--------- ἔναντι
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jer 16:11
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ἀνθ' P--------- ἀντί
ὧν RR--GPN--- ὅς
ἐγκατέλιπόν VBI-AAI3P- λείπω ἐν κατα
με RP--AS---- ἐγώ
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
ὑμῶν RP--GP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ᾤχοντο V1I-IMI3P- οἴχομαι
ὀπίσω P--------- ὀπίσω
θεῶν N2--GPM--- θεός
ἀλλοτρίων A1A-GPM--- ἀλλότριος
καὶ C--------- καί
ἐδούλευσαν VAI-AAI3P- δουλεύω
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
προσεκύνησαν VAI-AAI3P- κυνέω προς
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ἐμὲ RP--AS---- ἐγώ
ἐγκατέλιπον VBI-AAI3P- λείπω ἐν κατα
