Ezek 25:1
δύο M--------- δύο
καὶ C--------- καί
ἡμίσους A3U-GSM--- ἥμισυς
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
πῆχυν N3U-ASM--- πῆχυς
τὸ RA--ASN--- ὁ
ὕψος N3E-ASN--- ὕψος
ἐπ' P--------- ἐπί
αὐτὰς RD--APF--- αὐτός
ἐπιθήσουσιν VF--FAI3P- τίθημι ἐπι
τὰ RA--APN--- ὁ
σκεύη N3E-APN--- σκεῦος
ἐν P--------- ἐν
οἷς RR--DPN--- ὅς
σφάζουσιν V1--PAI3P- σφάζω
ἐκεῖ D--------- ἐκεῖ
τὰ RA--APN--- ὁ
ὁλοκαυτώματα N3M-APN--- ὁλοκαύτωμα
καὶ C--------- καί
τὰ RA--APN--- ὁ
θύματα N3M-APN--- θῦμα

Ezek 40:43
καὶ C--------- καί
παλαιστὴν N1--ASF--- παλαιστή
ἕξουσιν VF--FAI3P- ἔχω
γεῖσος N3E-ASN--- γεῖσος
λελαξευμένον VM--XMPASM λαξεύω
ἔσωθεν D--------- ἔσωθεν
κύκλῳ N2--DSM--- κύκλος
καὶ C--------- καί
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
τραπέζας N1S-APF--- τράπεζα
ἐπάνωθεν D--------- ἐπάνωθεν
στέγας N1--APF--- στέγη
τοῦ RA--GSN--- ὁ
καλύπτεσθαι V1--PMN--- καλύπτω
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
ὑετοῦ N2--GSM--- ὑετός
καὶ C--------- καί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ξηρασίας N1A-GSF--- ξηρασία

Ezek 40:44
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐσωτέραν A1A-ASF--- ἐσώτερος
καὶ C--------- καί
ἰδοὺ I--------- ἰδού
δύο M--------- δύο
ἐξέδραι N1--NPF--- ἐξέδρα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
αὐλῇ N1--DSF--- αὐλή
τῇ RA--DSF--- ὁ
ἐσωτέρᾳ A1A-DSF--- ἐσώτερος
μία A1A-NSF--- εἷς
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
βλεπούσης V1--PAPGSF βλέπω
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
φέρουσα V1--PAPNSF φέρω
πρὸς P--------- πρός
νότον N2--ASM--- νότος
καὶ C--------- καί
μία A1A-NSF--- εἷς
κατὰ P--------- κατά
νώτου N2N-GSN--- νῶτον
τῆς RA--GSF--- ὁ
πύλης N1--GSF--- πύλη
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
νότον N2--ASM--- νότος
βλεπούσης V1--PAPGSF βλέπω
δὲ X--------- δέ
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας

Ezek 40:45
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πρός P--------- πρός
με RP--AS---- ἐγώ
ἡ RA--NSF--- ὁ
ἐξέδρα N1--NSF--- ἐξέδρα
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
βλέπουσα V1--PAPNSF βλέπω
πρὸς P--------- πρός
νότον N2--ASM--- νότος
τοῖς RA--DPM--- ὁ
ἱερεῦσι N3V-DPM--- ἱερεύς
τοῖς RA--DPM--- ὁ
φυλάσσουσι V1--PAPDPM φυλάσσω
τὴν RA--ASF--- ὁ
φυλακὴν N1--ASF--- φυλακή
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος

Ezek 40:46
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἐξέδρα N1--NSF--- ἐξέδρα
ἡ RA--NSF--- ὁ
βλέπουσα V1--PAPNSF βλέπω
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
τοῖς RA--DPM--- ὁ
ἱερεῦσι N3V-DPM--- ἱερεύς
τοῖς RA--DPM--- ὁ
φυλάσσουσι V1--PAPDPM φυλάσσω
τὴν RA--ASF--- ὁ
φυλακὴν N1--ASF--- φυλακή
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
ἐκεῖνοί RD--NPM--- ἐκεῖνος
εἰσιν V9--PAI3P- εἰμί
οἱ RA--NPM--- ὁ
υἱοὶ N2--NPM--- υἱός
Σαδδουκ N---GSM--- Σαδδουκ
οἱ RA--NPM--- ὁ
ἐγγίζοντες V1--PAPNPM ἐγγίζω
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
Λευι N---GSM--- Λευί
πρὸς P--------- πρός
κύριον N2--ASM--- κύριος
λειτουργεῖν V2--PAN--- λειτουργέω
αὐτῷ RD--DSM--- αὐτός

Ezek 40:47
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
μῆκος N3E-ASN--- μῆκος
πήχεων N3U-GPM--- πῆχυς
ἑκατὸν M--------- ἑκατόν
καὶ C--------- καί
εὖρος N3E-ASN--- εὖρος
πήχεων N3U-GPM--- πῆχυς
ἑκατὸν M--------- ἑκατόν
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τέσσαρα A3--APN--- τέσσαρες
μέρη N3E-APN--- μέρος
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
ἀπέναντι D--------- ἀπέναντι
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος

Ezek 40:48
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
αιλαμ N---ASN--- αιλαμ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸ RA--ASN--- ὁ
αιλ N---ASN--- αιλ
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
πηχῶν N3V-DPM--- πηχύς
πέντε M--------- πέντε
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
πέντε M--------- πέντε
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τοῦ RA--GSN--- ὁ
θυρώματος N3M-GSN--- θύρωμα
πηχῶν N3V-DPM--- πηχύς
δέκα M--------- δέκα
τεσσάρων A3--GPM--- τέσσαρες
καὶ C--------- καί
ἐπωμίδες N3D-NPF--- ἐπωμίς
τῆς RA--GSF--- ὁ
θύρας N1A-GSF--- θύρα
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
πηχῶν N3V-DPM--- πηχύς
τριῶν A3--GPM--- τρεῖς
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
τριῶν A3--GPM--- τρεῖς
ἔνθεν D--------- ἔνθεν

Ezek 40:49
καὶ C--------- καί
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
πηχῶν N3V-DPM--- πηχύς
εἴκοσι M--------- εἴκοσι
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
πηχῶν N3V-DPM--- πηχύς
δώδεκα M--------- δώδεκα
καὶ C--------- καί
ἐπὶ P--------- ἐπί
δέκα M--------- δέκα
ἀναβαθμῶν N2--GPM--- ἀναβαθμός
ἀνέβαινον V1I-IAI3P- βαίνω ἀνα
ἐπ' P--------- ἐπί
αὐτό RD--ASN--- αὐτός
καὶ C--------- καί
στῦλοι N2--NPM--- στῦλος
ἦσαν V9--IAI3P- εἰμί
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
αιλαμ N---ASN--- αιλαμ
εἷς A3--NSM--- εἷς
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
εἷς A3--NSM--- εἷς
ἔνθεν D--------- ἔνθεν

Ezek 41:1
καὶ C--------- καί
εἰσήγαγέν VBI-AAI3S- ἄγω εἰς
με RP--AS---- ἐγώ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
ναόν N2--ASM--- ναός
ᾧ RR--DSM--- ὅς
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸ RA--ASN--- ὁ
αιλαμ N---ASN--- αιλαμ
πηχῶν N3V-DPM--- πηχύς
ἓξ M--------- ἕξ
τὸ RA--ASN--- ὁ
πλάτος N3E-ASN--- πλάτος
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
ἓξ M--------- ἕξ
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τοῦ RA--GSN--- ὁ
αιλαμ N---GSN--- αιλαμ
ἔνθεν D--------- ἔνθεν

Ezek 41:2
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τοῦ RA--GSM--- ὁ
πυλῶνος N3W-GSM--- πυλών
πηχῶν N3V-DPM--- πηχύς
δέκα M--------- δέκα
καὶ C--------- καί
ἐπωμίδες N3D-NPF--- ἐπωμίς
τοῦ RA--GSM--- ὁ
πυλῶνος N3W-GSM--- πυλών
πηχῶν N3V-DPM--- πηχύς
πέντε M--------- πέντε
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
πέντε M--------- πέντε
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
αὐτοῦ RD--GSM--- αὐτός
πηχῶν N3V-DPM--- πηχύς
τεσσαράκοντα M--------- τεσσαράκοντα
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
πηχῶν N3V-DPM--- πηχύς
εἴκοσι M--------- εἴκοσι

Ezek 41:3
καὶ C--------- καί
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
αὐλὴν N1--ASF--- αὐλή
τὴν RA--ASF--- ὁ
ἐσωτέραν A1A-ASF--- ἐσώτερος
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸ RA--ASN--- ὁ
αιλ N---ASN--- αιλ
τοῦ RA--GSN--- ὁ
θυρώματος N3M-GSN--- θύρωμα
πηχῶν N3V-DPM--- πηχύς
δύο M--------- δύο
καὶ C--------- καί
τὸ RA--ASN--- ὁ
θύρωμα N3M-ASN--- θύρωμα
πηχῶν N3V-DPM--- πηχύς
ἓξ M--------- ἕξ
καὶ C--------- καί
τὰς RA--APF--- ὁ
ἐπωμίδας N3D-APF--- ἐπωμίς
τοῦ RA--GSN--- ὁ
θυρώματος N3M-GSN--- θύρωμα
πηχῶν N3V-DPM--- πηχύς
ἑπτὰ M--------- ἑπτά
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
πηχῶν N3V-DPM--- πηχύς
ἑπτὰ M--------- ἑπτά
ἔνθεν D--------- ἔνθεν

Ezek 41:4
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸ RA--ASN--- ὁ
μῆκος N3E-ASN--- μῆκος
τῶν RA--GPF--- ὁ
θυρῶν N1A-GPF--- θύρα
πηχῶν N3V-DPM--- πηχύς
τεσσαράκοντα M--------- τεσσαράκοντα
καὶ C--------- καί
εὖρος N3E-ASN--- εὖρος
πηχῶν N3V-DPM--- πηχύς
εἴκοσι M--------- εἴκοσι
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
ναοῦ N2--GSM--- ναός
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
ἅγιον A1A-NSN--- ἅγιος
τῶν RA--GPN--- ὁ
ἁγίων A1A-GPN--- ἅγιος

Ezek 41:5
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
τὸν RA--ASM--- ὁ
τοῖχον N2--ASM--- τοῖχος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
πηχῶν N3V-DPM--- πηχύς
ἓξ M--------- ἕξ
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τῆς RA--GSF--- ὁ
πλευρᾶς N1A-GSF--- πλευρά
πηχῶν N3V-DPM--- πηχύς
τεσσάρων A3--GPM--- τέσσαρες
κυκλόθεν D--------- κυκλόθεν

Ezek 41:6
καὶ C--------- καί
τὰ RA--NPN--- ὁ
πλευρὰ N2N-NPN--- πλευρόν
πλευρὸν N2N-NSN--- πλευρόν
ἐπὶ P--------- ἐπί
πλευρὸν N2N-ASN--- πλευρόν
τριάκοντα M--------- τριάκοντα
καὶ C--------- καί
τρεῖς A3--NPM--- τρεῖς
δίς D--------- δίς
καὶ C--------- καί
διάστημα N3M-ASN--- διάστημα
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
τοίχῳ N2--DSM--- τοῖχος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
πλευροῖς N2N-DPN--- πλευρόν
κύκλῳ N2--DSM--- κύκλος
τοῦ RA--GSN--- ὁ
εἶναι V9--PAN--- εἰμί
τοῖς RA--DPM--- ὁ
ἐπιλαμβανομένοις V1--PMPDPM λαμβάνω ἐπι
ὁρᾶν V3--PAN--- ὁράω
ὅπως C--------- ὅπως
τὸ RA--ASN--- ὁ
παράπαν D--------- παράπαν
μὴ D--------- μή
ἅπτωνται V1--PMS3P- ἅπτομαι
τῶν RA--GPM--- ὁ
τοίχων N2--GPM--- τοῖχος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος

Ezek 41:7
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τῆς RA--GSF--- ὁ
ἀνωτέρας A1A-GSF--- ἀνώτερος
τῶν RA--GPF--- ὁ
πλευρῶν N1A-GPF--- πλευρά
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
πρόσθεμα N3M-ASN--- πρόσθεμα
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
πρὸς P--------- πρός
τὴν RA--ASF--- ὁ
ἀνωτέραν A1A-ASF--- ἀνώτερος
κύκλῳ N2--DSM--- κύκλος
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
ὅπως C--------- ὅπως
διαπλατύνηται V1--PMS3S- πλατύνω δια
ἄνωθεν D--------- ἄνωθεν
καὶ C--------- καί
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
κάτωθεν D--------- κάτωθεν
ἀναβαίνωσιν V1--PAS3P- βαίνω ἀνα
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
ὑπερῷα N2N-APN--- ὑπερῷον
καὶ C--------- καί
ἐκ P--------- ἐκ
τῶν RA--GPM--- ὁ
μέσων A1--GPM--- μέσος
ἐπὶ P--------- ἐπί
τὰ RA--APN--- ὁ
τριώροφα A1B-APN--- τριώροφος

Ezek 41:8
καὶ C--------- καί
τὸ RA--ASN--- ὁ
θραελ N---ASN--- θραελ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
ὕψος N3E-ASN--- ὕψος
κύκλῳ N2--DSM--- κύκλος
διάστημα N3M-ASN--- διάστημα
τῶν RA--GPN--- ὁ
πλευρῶν N1A-GPF--- πλευρά
ἴσον A1--ASM--- ἴσος
τῷ RA--DSM--- ὁ
καλάμῳ N2--DSM--- κάλαμος
πήχεων N3U-GPM--- πῆχυς
ἓξ M--------- ἕξ
διάστημα N3M-ASN--- διάστημα

Ezek 41:9
καὶ C--------- καί
εὖρος N3E-ASN--- εὖρος
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
τῆς RA--GSF--- ὁ
πλευρᾶς N1A-GSF--- πλευρά
ἔξωθεν D--------- ἔξωθεν
πηχῶν N3V-DPM--- πηχύς
πέντε M--------- πέντε
καὶ C--------- καί
τὰ RA--NPN--- ὁ
ἀπόλοιπα A1--APN--- ἀπόλοιπος
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῶν RA--GPF--- ὁ
πλευρῶν N1A-GPF--- πλευρά
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος

Ezek 41:10
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASM--- μέσος
τῶν RA--GPF--- ὁ
ἐξεδρῶν N1--GPF--- ἐξέδρα
εὖρος N3E-NSN--- εὖρος
πηχῶν N3V-DPM--- πηχύς
εἴκοσι M--------- εἴκοσι
τὸ RA--NSN--- ὁ
περιφερὲς A3H-NSN--- περιφερής
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
κύκλῳ N2--DSM--- κύκλος

Ezek 41:11
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θύραι N1A-NPF--- θύρα
τῶν RA--GPF--- ὁ
ἐξεδρῶν N1--GPF--- ἐξέδρα
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἀπόλοιπον A1--ASN--- ἀπόλοιπος
τῆς RA--GSF--- ὁ
θύρας N1A-GSF--- θύρα
τῆς RA--GSF--- ὁ
μιᾶς A1A-GSF--- εἷς
τῆς RA--GSF--- ὁ
πρὸς P--------- πρός
βορρᾶν N1T-ASM--- βορέας
καὶ C--------- καί
ἡ RA--NSF--- ὁ
θύρα N1A-NSF--- θύρα
ἡ RA--NSF--- ὁ
μία A1A-NSF--- εἷς
πρὸς P--------- πρός
νότον N2--ASM--- νότος
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
τοῦ RA--GSN--- ὁ
φωτὸς N3T-GSN--- φῶς
τοῦ RA--GSM--- ὁ
ἀπολοίπου A1--GSM--- ἀπόλοιπος
πηχῶν N3V-DPM--- πηχύς
πέντε M--------- πέντε
πλάτος N3E-ASN--- πλάτος
κυκλόθεν D--------- κυκλόθεν

Ezek 41:12
καὶ C--------- καί
τὸ RA--ASN--- ὁ
διορίζον V1--PAPASN ὁρίζω δια
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
ἀπολοίπου A1--GSM--- ἀπόλοιπος
ὡς C--------- ὡς
πρὸς P--------- πρός
θάλασσαν N1S-ASF--- θάλασσα
πηχῶν N3V-DPM--- πηχύς
ἑβδομήκοντα M--------- ἑβδομήκοντα
πλάτος N3E-ASN--- πλάτος
τοῦ RA--GSM--- ὁ
τοίχου N2--GSM--- τοῖχος
τοῦ RA--GSM--- ὁ
διορίζοντος V1--PAPGSM ὁρίζω δια
πήχεων N3U-GPM--- πῆχυς
πέντε M--------- πέντε
εὖρος N3E-ASN--- εὖρος
κυκλόθεν D--------- κυκλόθεν
καὶ C--------- καί
μῆκος N3E-ASN--- μῆκος
αὐτοῦ RD--GSM--- αὐτός
πήχεων N3U-GPM--- πῆχυς
ἐνενήκοντα M--------- ἐνενήκοντα

Ezek 41:13
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
κατέναντι D--------- κατέναντι
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
μῆκος N3E-ASN--- μῆκος
πηχῶν N3V-DPM--- πηχύς
ἑκατόν M--------- ἑκατόν
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἀπόλοιπα A1--APN--- ἀπόλοιπος
καὶ C--------- καί
τὰ RA--APN--- ὁ
διορίζοντα V1--PAPAPN ὁρίζω δια
καὶ C--------- καί
οἱ RA--NPM--- ὁ
τοῖχοι N2--NPM--- τοῖχος
αὐτῶν RD--GPM--- αὐτός
μῆκος N3E-ASN--- μῆκος
πηχῶν N3V-DPM--- πηχύς
ἑκατόν M--------- ἑκατόν

Ezek 41:14
καὶ C--------- καί
τὸ RA--ASN--- ὁ
εὖρος N3E-ASN--- εὖρος
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἀπόλοιπα A1--APN--- ἀπόλοιπος
κατέναντι D--------- κατέναντι
πηχῶν N3V-DPM--- πηχύς
ἑκατόν M--------- ἑκατόν

Ezek 41:15
καὶ C--------- καί
διεμέτρησεν VAI-AAI3S- μετρέω δια
μῆκος N3E-ASN--- μῆκος
τοῦ RA--GSM--- ὁ
διορίζοντος V1--PAPGSM ὁρίζω δια
κατὰ P--------- κατά
πρόσωπον N2N-ASN--- πρόσωπον
τοῦ RA--GSM--- ὁ
ἀπολοίπου A1--GSM--- ἀπόλοιπος
τῶν RA--GPM--- ὁ
κατόπισθεν D--------- κατόπισθεν
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
ἐκείνου RD--GSM--- ἐκεῖνος
καὶ C--------- καί
τὰ RA--APN--- ὁ
ἀπόλοιπα A1--APN--- ἀπόλοιπος
ἔνθεν D--------- ἔνθεν
καὶ C--------- καί
ἔνθεν D--------- ἔνθεν
πήχεων N3U-GPM--- πῆχυς
